"HOUSEHOLD DATA
ANNUAL AVERAGES
11.  Employed persons by detailed occupation, sex, race, and Hispanic or Latino ethnicity",,,,,,,
[Numbers in thousands],,,,,,,
,,,,,,,
Occupation,2020,,,,,,
,"Total
employed",Percent of total employed,,,,,
,,Women,White,"Black or
African
American",Asian,"Hispanic
or Latino",Tree level
Recreation workers,131,63.8,79.8,12.6,2.4,10.4,3
Residential advisors,33,–,–,–,–,–,3
"Personal care and service workers, all other",102,71.9,71.6,15.8,6.9,10.4,3
,,,,,,,
Sales and office occupations,"29,726",61.3,78.7,12.5,5.1,17.3,1
Sales and related occupations,"14,168",48.7,80.2,10.6,5.5,17.1,2
First-line supervisors of retail sales workers,"3,067",44.7,80.3,9.4,6.3,15.3,3
First-line supervisors of non-retail sales workers,"1,176",31.7,84.7,6.7,6.8,14.2,3
Cashiers,"2,552",73.1,71.1,17.1,6.3,25.5,3
Counter and rental clerks,69,35.7,82.2,10.8,1.5,13.9,3
Parts salespersons,119,16.0,89.2,8.2,1.1,11.6,3
Retail salespersons,"2,751",47.5,78.7,12.2,4.5,18.5,3
Advertising sales agents,141,53.8,89.6,5.5,2.4,16.4,3
Insurance sales agents,641,50.1,79.9,10.8,5.7,14.0,3
"Securities, commodities, and financial services sales agents",242,22.8,85.2,4.3,9.0,8.2,3
Travel agents,51,79.5,85.0,7.3,7.3,5.4,3
"Sales representatives of services, except advertising, insurance, financial services, and travel",563,34.0,85.4,7.7,4.9,12.1,3
"Sales representatives, wholesale and manufacturing","1,217",30.5,88.8,4.5,4.2,13.6,3
"Models, demonstrators, and product promoters",28,–,–,–,–,–,3
Real estate brokers and sales agents,"1,037",57.5,84.9,7.9,5.0,14.5,3
Sales engineers,35,–,–,–,–,–,3
Telemarketers,48,–,–,–,–,–,3
"Door-to-door sales workers, news and street vendors, and related workers",114,62.4,81.9,13.3,1.5,22.4,3
"Sales and related workers, all other",317,52.2,79.6,12.6,4.4,13.8,3
Office and administrative support occupations,"15,558",72.7,77.4,14.3,4.7,17.4,2
First-line supervisors of office and administrative support workers,"1,273",69.2,80.6,12.8,3.9,13.6,3
"Switchboard operators, including answering service",12,–,–,–,–,–,3
Telephone operators,23,–,–,–,–,–,3
"Communications equipment operators, all other",8,–,–,–,–,–,3
Bill and account collectors,98,66.0,72.1,23.9,2.1,15.8,3
Billing and posting clerks,434,89.1,74.7,15.5,4.8,15.3,3
"Bookkeeping, accounting, and auditing clerks","1,179",87.3,86.5,7.7,4.0,14.2,3
Gambling cage workers,13,–,–,–,–,–,3
Payroll and timekeeping clerks,146,86.9,81.6,10.2,3.4,12.4,3
Procurement clerks,34,–,–,–,–,–,3
Tellers,279,80.4,82.5,12.2,3.7,17.7,3
"Financial clerks, all other",103,66.1,80.8,8.2,7.3,13.1,3
Brokerage clerks,6,–,–,–,–,–,3
Correspondence clerks,4,–,–,–,–,–,3
"Court, municipal, and license clerks",76,85.1,69.5,23.1,2.7,12.1,3
"Credit authorizers, checkers, and clerks",55,64.9,80.0,7.8,7.8,17.1,3
Customer service representatives,"2,404",63.8,73.1,17.7,4.9,19.6,3
"Eligibility interviewers, government programs",82,81.8,61.5,20.7,11.4,26.8,3
File clerks,161,77.6,83.0,8.8,5.6,16.0,3
"Hotel, motel, and resort desk clerks",91,82.6,69.1,21.9,3.0,27.7,3
"Interviewers, except eligibility and loan",208,78.3,72.1,20.5,3.4,18.1,3
"Library assistants, clerical",65,86.0,82.8,10.3,5.7,9.0,3
Loan interviewers and clerks,151,76.1,71.8,19.4,6.1,18.0,3
New accounts clerks,24,–,–,–,–,–,3
Order clerks,113,54.5,76.4,9.5,6.1,19.6,3
"Human resources assistants, except payroll and timekeeping",44,–,–,–,–,–,3
Receptionists and information clerks,"1,147",88.3,78.8,12.6,3.6,22.2,3
Reservation and transportation ticket agents and travel clerks,108,52.5,59.1,26.1,7.7,17.8,3
"Information and record clerks, all other",113,74.3,78.7,16.4,1.7,26.3,3
Cargo and freight agents,24,–,–,–,–,–,3
Couriers and messengers,578,22.6,69.9,21.1,4.4,23.1,3
Public safety telecommunicators,104,64.1,89.1,10.1,0.4,13.4,3
"Dispatchers, except police, fire, and ambulance",205,50.8,75.2,16.3,2.5,19.0,3
"Meter readers, utilities",25,–,–,–,–,–,3
Postal service clerks,91,62.1,49.5,38.4,9.6,10.2,3
Postal service mail carriers,312,36.7,72.7,18.7,6.8,13.6,3
"Postal service mail sorters, processors, and processing machine operators",66,46.9,49.0,31.1,18.7,6.1,3
"Production, planning, and expediting clerks",244,50.3,78.8,11.5,4.6,15.2,3
"Shipping, receiving, and inventory clerks",572,33.6,72.6,19.1,4.0,26.8,3
"Weighers, measurers, checkers, and samplers, recordkeeping",58,40.0,74.3,20.5,1.7,20.8,3
Executive secretaries and executive administrative assistants,196,92.5,83.0,12.8,3.3,9.8,3
Legal secretaries and administrative assistants,54,83.9,83.3,9.7,4.5,13.2,3
Medical secretaries and administrative assistants,72,93.3,81.2,8.2,7.6,18.5,3
"Secretaries and administrative assistants, except legal, medical, and executive","2,080",92.9,83.8,10.3,3.2,13.8,3
